Make,Model,Variant,prices
APRILIA                       ,CAPONORD                                          ,1200 ABS,2157647
APRILIA                       ,CAPONORD                                          ,1200 ABS BSIV,2177000
APRILIA                       ,CAPONORD                                          ,1200 RALLY ABS BSIV,2230000
BAJAJ                         ,ASPIRE                                            ,STD,25000
BAJAJ                         ,AVENGER                                           ,CRUISE,84000
BAJAJ                         ,AVENGER                                           ,STD,59500
BAJAJ                         ,AVENGER                                           ,STD,68900
BAJAJ                         ,AVENGER                                           ,STD,89347
BAJAJ                         ,AVENGER                                           ,STREET,75000
BAJAJ                         ,AVENGER                                           ,STREET,84000
BAJAJ                         ,AVENGER                                           ,150 STREET BSIV,85595
BAJAJ                         ,AVENGER                                           ,180 STREET BSIV,90345
BAJAJ                         ,AVENGER                                           ,220 STREET BSIV,99700
BAJAJ                         ,AVENGER                                           ,220 CRUISE UG,99700
BAJAJ                         ,AVENGER                                           ,220 STREET ABS,102426
BAJAJ                         ,AVENGER                                           ,220 CRUISE ABS,129000
BAJAJ                         ,AVENGER                                           ,160 STREET ABS,89080
BAJAJ                         ,AVENGER                                           ,160 STREET,106131
BAJAJ                         ,AVENGER                                           ,160 STREET ABS BSVI,112038
BAJAJ                         ,AVENGER                                           ,220 STREET ABS BSVI,140000
BAJAJ                         ,AVENGER                                           ,220 CRUISE ABS BSVI,138351
BAJAJ                         ,AVENGER                                           ,DTSI,80000
BAJAJ                         ,AVENGER                                           ,160 STREET ABS BSVI PD 31,112000
BAJAJ                         ,BOXER                                             ,AR,28000
BAJAJ                         ,BOXER                                             ,AT,35000
BAJAJ                         ,BOXER                                             ,CT,42000
BAJAJ                         ,BOXER                                             ,STD,29000
BAJAJ                         ,BOXER                                             ,STD,30000
BAJAJ                         ,BOXER 150                                         ,ELEC ST DRUM BRAKE SPOKE WHEEL,42873
BAJAJ                         ,BYK                                               ,M,25000
BAJAJ                         ,BYK                                               ,STD,25000
BAJAJ                         ,CALIBER                                           ,CALIBER 115,40000
BAJAJ                         ,CALIBER                                           ,CROMA,27900
BAJAJ                         ,CALIBER                                           ,STD,40000
BAJAJ                         ,CALIBER                                           ,CALIBER 115,40000
BAJAJ                         ,CT 100                                            ,Deluxe,35000
BAJAJ                         ,CT 100                                            ,STD,35000
BAJAJ                         ,CT 100                                            ,B BSIV,33795
BAJAJ                         ,CT 100                                            ,SPOKE BSIV,30448
BAJAJ                         ,CT 100                                            ,ALLOY BSIV,37000
BAJAJ                         ,CT 100                                            ,ALLOY BSIV ES,43424
BAJAJ                         ,CT 100                                            ,ALLOY KS UG ABS,48000
BAJAJ                         ,CT 100                                            ,ALLOY ES UG ABS,42285
BAJAJ                         ,CT 100                                            ,SPOKE UG CBS,36634
BAJAJ                         ,CT 100                                            ,ALLOY ES UG CBS,42285
BAJAJ                         ,CT 100                                            ,KS CBS,45000
BAJAJ                         ,CT 100                                            ,KS CBS BSIV,33579
BAJAJ                         ,CT 100                                            ,ALLOY KS UG CBS,37906
BAJAJ                         ,CT 100                                            ,ALLOY KS CBS BSVI,52768
BAJAJ                         ,CT 100                                            ,ES CBS BSVI,56000
BAJAJ                         ,CT 100                                            ,BASIC,42885
BAJAJ                         ,CT 100                                            ,KICK START ALLOY WHEEL,48000
BAJAJ                         ,CUB                                               ,STD,25000
BAJAJ                         ,DISCOVER                                          ,4G,49979
BAJAJ                         ,DISCOVER                                          ,5G,50598
BAJAJ                         ,DISCOVER                                          ,DTS-Si ELEC ST DRUM BRAKE SW,42660
BAJAJ                         ,DISCOVER                                          ,ELECTRIC START,45145
BAJAJ                         ,DISCOVER                                          ,ELECTRIC START UG,54706
BAJAJ                         ,DISCOVER                                          ,KICK START,38200
BAJAJ                         ,DISCOVER                                          ,STD,50880
BAJAJ                         ,DISCOVER                                          ,100 UG,50880
BAJAJ                         ,DISCOVER                                          ,BS3,53102
BAJAJ                         ,DISCOVER                                          ,KICK START,39000
BAJAJ                         ,DISCOVER 112                                      ,K 70,36900
BAJAJ                         ,DISCOVER 112                                      ,STD,38556
BAJAJ                         ,DISCOVER 125                                      ,ELECTRIC START DISC BRAKE,57604
BAJAJ                         ,DISCOVER 125                                      ,ELECTRIC START DRUM BRAKE,52779
BAJAJ                         ,DISCOVER 125                                      ,KICK START DISC BRAKE,47208
BAJAJ                         ,DISCOVER 125                                      ,KICK START DRUM BRAKE,45735
BAJAJ                         ,DISCOVER 125                                      ,ST ELEC ST DISC BRAKE AW,64100
BAJAJ                         ,DISCOVER 125                                      ,CBS,45735
BAJAJ                         ,DISCOVER 125                                      ,DRUM CBS,58253
BAJAJ                         ,DISCOVER 125                                      ,DISC CBS,61754
BAJAJ                         ,DISCOVER 125                                      ,BSIII,51000
BAJAJ                         ,DISCOVER 135 DTSI                                 ,ELECTRIC START,54706
BAJAJ                         ,DISCOVER 135 DTSI                                 ,KICK START,50880
BAJAJ                         ,DISCOVER 135 DTSI                                 ,SPORTS,46557
BAJAJ                         ,DISCOVER 150                                      ,DISC BRAKE,51312
BAJAJ                         ,DISCOVER 150                                      ,DRUM BRAKE,51312
BAJAJ                         ,DISCOVER 150                                      ,DTS-Si ELEC START DISC BRAKE,51312
BAJAJ                         ,DISCOVER 150                                      ,ELECTRIC START DISC BRAKE,51312
BAJAJ                         ,DISCOVER 110                                      ,ELECTRIC START (110 CC),50622
BAJAJ                         ,DISCOVER 110                                      ,CBS,52622
BAJAJ                         ,DISCOVER F                                        ,ELECTRIC START DISK BRAKE,63292
BAJAJ                         ,DISCOVER M                                        ,DISC BRAKE,56162
BAJAJ                         ,DISCOVER M                                        ,DRUM BRAKE,53113
BAJAJ                         ,DISCOVER M                                        ,ELEC ST DISC BRAKE AWS,55064
BAJAJ                         ,DISCOVER M                                        ,ELEC ST DRUM BRAKE AWS,51077
BAJAJ                         ,DISCOVER S                                        ,DISC BRAKE,58844
BAJAJ                         ,DISCOVER S                                        ,DRUM BRAKE,55677
BAJAJ                         ,DISCOVER ST                                       ,STD,64100
BAJAJ                         ,DISCOVER T                                        ,ELEC ST DISC BRAKE ALLOY WHEEL,57604
BAJAJ                         ,DISCOVER T                                        ,ELEC ST DISC BRAKE AWS,58424
BAJAJ                         ,DISCOVER T                                        ,ELEC ST DRUM BRAKE ALLOY WHEEL,54552
BAJAJ                         ,DISCOVER T                                        ,ELEC ST DRUM BRAKE AWS,53102
BAJAJ                         ,DISCOVER T                                        ,KICK ST DRUM BRAKE AWS,53102
BAJAJ                         ,ELIMINATOR                                        ,STD,64948
BAJAJ                         ,KB 100                                            ,STD,25000
BAJAJ                         ,KB 125 RTZ                                        ,STD,25000
BAJAJ                         ,PLATINA                                           ,ALLOY WHEELS,42935
BAJAJ                         ,PLATINA                                           ,SPOKE WHEELS,41582
BAJAJ                         ,PLATINA                                           ,STD,41732
BAJAJ                         ,PLATINA                                           ,STD,43460
BAJAJ                         ,PLATINA                                           ,100 ES SPOKE BSIV,44824
BAJAJ                         ,PLATINA                                           ,100 ES COMFORTEC BSIV,40933
BAJAJ                         ,PLATINA                                           ,110 ES,43760
BAJAJ                         ,PLATINA                                           ,100 KS,36589
BAJAJ                         ,PLATINA                                           ,110 CBS,51130
BAJAJ                         ,PLATINA                                           ,100 ES CBS,48634
BAJAJ                         ,PLATINA                                           ,100 KS CBS,39589
BAJAJ                         ,PLATINA                                           ,110 H GEAR DISC CBS,69505
BAJAJ                         ,PLATINA                                           ,110 H GEAR DRUM CBS,60000
BAJAJ                         ,PLATINA                                           ,110 ES COMFORTEC,48500
BAJAJ                         ,PLATINA                                           ,100 KS CBS BSVI,52666
BAJAJ                         ,PLATINA                                           ,100 ES CBS BSVI,56672
BAJAJ                         ,PLATINA                                           ,110 H ES DISC BSVI,66803
BAJAJ                         ,PLATINA                                           ,100 DB BSVI,60425
BAJAJ                         ,PLATINA                                           ,100 ES Drum 4 Speed BSVI,61274
BAJAJ                         ,PLATINA                                           ,110 5 Speed Disc ABS BSVI,75000
BAJAJ                         ,PLATINA                                           ,Drum 5 Speed BSVI,65811
BAJAJ                         ,PLATINA                                           ,Drum 5 Speed,53000
BAJAJ                         ,PLATINA                                           ,100 ES DISC BSVI,65000
BAJAJ                         ,PLATINA                                           ,110 HDR,63990
BAJAJ                         ,PLATINA                                           ,BSIII,43000
BAJAJ                         ,PLATINA 125 DTS-I                                 ,ELECTRIC START,40643
BAJAJ                         ,PLATINA 125 DTS-I                                 ,KICK START,43460
BAJAJ                         ,PLATINA                                           ,110 ES DRUM BSVI,65818
BAJAJ                         ,PULSAR                                            ,135 LS,64869
BAJAJ                         ,PULSAR                                            ,S,75121
BAJAJ                         ,PULSAR                                            ,SF,94470
BAJAJ                         ,PULSAR                                            ,STD,80724
BAJAJ                         ,PULSAR                                            ,UG 4.5 ELECTRIC START,65197
BAJAJ                         ,PULSAR                                            ,UG4 ELECTRIC START,65197
BAJAJ                         ,PULSAR                                            ,135 LS UG DISC LG/SG BSIV,64680
BAJAJ                         ,PULSAR                                            ,150 ES UG-4.5 BSIV,79130
BAJAJ                         ,PULSAR                                            ,150TWINDISC,83124
BAJAJ                         ,PULSAR                                            ,180 ES BSIV LG/SG,88600
BAJAJ                         ,PULSAR                                            ,220 SF LG/SG BSIV,101890
BAJAJ                         ,PULSAR                                            ,160 NS,86700
BAJAJ                         ,PULSAR                                            ,200 NS BSIV,106122
BAJAJ                         ,PULSAR                                            ,200 NS ABS BSIV,118122
BAJAJ                         ,PULSAR                                            ,200 RS W/O ABS BSIV,132890
BAJAJ                         ,PULSAR                                            ,200 RS ABS BSIV,141890
BAJAJ                         ,PULSAR                                            ,180 F,88600
BAJAJ                         ,PULSAR                                            ,150 NEON,66240
BAJAJ                         ,PULSAR                                            ,F ABS,94470
BAJAJ                         ,PULSAR                                            ,160 NS TWIN DISC,86700
BAJAJ                         ,PULSAR                                            ,220 F ABS,105000
BAJAJ                         ,PULSAR                                            ,150 TWIN DISC ABS,89345
BAJAJ                         ,PULSAR                                            ,220 F TWIN DISC,129000
BAJAJ                         ,PULSAR                                            ,150 NEON ABS,69240
BAJAJ                         ,PULSAR                                            ,150 TD ABS,72240
BAJAJ                         ,PULSAR                                            ,180 HF ABS,88600
BAJAJ                         ,PULSAR                                            ,160 NS ABS,92773
BAJAJ                         ,PULSAR                                            ,180 F NEON ABS,97500
BAJAJ                         ,PULSAR                                            ,180 F ABS,96900
BAJAJ                         ,PULSAR                                            ,150 CLASSIC ABS,68790
BAJAJ                         ,PULSAR                                            ,150 C AND G,78141
BAJAJ                         ,PULSAR                                            ,125 NEON,76000
BAJAJ                         ,PULSAR                                            ,125 NEON CBS DISC,66458
BAJAJ                         ,PULSAR                                            ,125 NEON CBS DRUM,77811
BAJAJ                         ,PULSAR                                            ,150 C AND G (ABS),97383
BAJAJ                         ,PULSAR                                            ,125 NEON DRUM CBS BSVI,81421
BAJAJ                         ,PULSAR                                            ,125 TWIN DISC,84203
BAJAJ                         ,PULSAR                                            ,125 NEON DISC FI BSVI,81333
BAJAJ                         ,PULSAR                                            ,NS 125 OBD2 BSVI,107900
BAJAJ                         ,PULSAR                                            ,125 NEON DRUM SPLIT SEAT BSVI,82582
BAJAJ                         ,PULSAR                                            ,125 NEON DISC SPLIT SEAT BSVI,87875
BAJAJ                         ,PULSAR                                            ,N 160 SINGLE DISC BSVI,123078
BAJAJ                         ,PULSAR                                            ,N 160 DUAL DISC BSVI,126089
BAJAJ                         ,PULSAR                                            ,N 250 DUAL DISC BSVI,151720
BAJAJ                         ,PULSAR                                            ,F 250 DUAL DISC BSVI,151720
BAJAJ                         ,PULSAR                                            ,125 DISC SINGLE SEAT BSVI,87149
BAJAJ                         ,PULSAR                                            ,125 CARBON DISC SINGLE ST BSVI,89382
BAJAJ                         ,PULSAR                                            ,125 CARBON DISC SPLIT ST BSVI,91770
BAJAJ                         ,PULSAR                                            ,150 TWIN DISC DAGGER BSVI,116175
BAJAJ                         ,PULSAR                                            ,150 SINGLE DISC DAGGER BSVI,112655
BAJAJ                         ,PULSAR                                            ,P150 SINGLE DISC BSVI,117075
BAJAJ                         ,PULSAR                                            ,P150 TWIN DISC BSVI,120077
BAJAJ                         ,PULSAR                                            ,150 TD NEXT GEN BSVI,154320
BAJAJ                         ,PULSAR                                            ,125 DISC BSVI,81000
BAJAJ                         ,PULSAR                                            ,N 150 STD ABS BSVI,118509
BAJAJ                         ,PULSAR                                            ,135 DTSI ELECTRIC START,67982
BAJAJ                         ,PULSAR                                            ,150 ELECTRIC START,77133
BAJAJ                         ,PULSAR                                            ,150 KICK START,71536
BAJAJ                         ,PULSAR                                            ,ELECTRIC START STD,98000
BAJAJ                         ,PULSAR                                            ,150 DTS-I BSIII,98000
BAJAJ                         ,PULSAR                                            ,150 DTSI ELECTRIC START,92000
BAJAJ                         ,PULSAR                                            ,150 DTSI KICK START,71536
BAJAJ                         ,PULSAR                                            ,150 DTSI DISC CLASSIC,70648
BAJAJ                         ,PULSAR                                            ,150 DTSI ABS,86189
BAJAJ                         ,PULSAR                                            ,150 SD ABS,98000
BAJAJ                         ,PULSAR                                            ,180 ELECTRIC START,80724
BAJAJ                         ,PULSAR                                            ,180 BIKINI,112650
BAJAJ                         ,PULSAR                                            ,180 DTSI ELECTRIC START,84000
BAJAJ                         ,PULSAR                                            ,200 DTSI ELECTRIC START,64660
BAJAJ                         ,PULSAR                                            ,220 DTS-Fi ELECTRIC START,102816
BAJAJ                         ,PULSAR                                            ,220 DTSI ELECTRIC START,102816
BAJAJ                         ,PULSAR                                            ,AS STD,82690
BAJAJ                         ,PULSAR                                            ,AS STD,84961
BAJAJ                         ,PULSAR                                            ,NS STD,98660
BAJAJ                         ,PULSAR                                            ,RS ABS,106122
BAJAJ                         ,PULSAR                                            ,RS NON ABS,122469
BAJAJ                         ,PULSAR                                            ,125 NEON CBS DISC BSVI,84607
BAJAJ                         ,PULSAR                                            ,150 NEON ABS BSVI,104115
BAJAJ                         ,PULSAR                                            ,150 STD ABS BSVI,111456
BAJAJ                         ,PULSAR                                            ,150 TWIN DISC ABS BSVI,120560
BAJAJ                         ,PULSAR                                            ,160 NS TD ABS BSVI,136083
BAJAJ                         ,PULSAR                                            ,180 HF ABS BSVI,107890
BAJAJ                         ,PULSAR                                            ,220 F ABS BSVI,116262
BAJAJ                         ,PULSAR                                            ,200 NS ABS BSVI,142221
BAJAJ                         ,PULSAR                                            ,200 RS TWIN ABS BSVI,169223
BAJAJ                         ,PULSAR                                            ,125 SPLIT DTSI BSVI,78643
BAJAJ                         ,PULSAR                                            ,125 DB SPLIT BSVI,84205
BAJAJ                         ,PULSAR                                            ,125 DTS-I,86000
BAJAJ                         ,PULSAR                                            ,NS 125 DISC,94000
BAJAJ                         ,PULSAR                                            ,N 250 SINGLE DISC BSVI,144133
BAJAJ                         ,PULSAR                                            ,F 250 SINGLE DISC BSVI,145314
BAJAJ                         ,SONIC                                             ,DTSi,25000
BAJAJ                         ,SX ENDURO                                         ,STD                           ,25000
BAJAJ                         ,V15                                               ,STD,64943
BAJAJ                         ,V15                                               ,BSIV,70049
BAJAJ                         ,V15                                               ,POWER UP,67570
BAJAJ                         ,4S CHAMPION                                       ,STD,17000
BAJAJ                         ,WIND 125                                          ,DISC BRAKE,46000
BAJAJ                         ,WIND 125                                          ,DRUM BRAKE,46000
BAJAJ                         ,XCD                                               ,DRUM BRAKE,45580
BAJAJ                         ,XCD                                               ,ES W/O SG/LG,41964
BAJAJ                         ,XCD                                               ,KS W/O SG/LG,41224
BAJAJ                         ,XCD                                               ,STD,44520
BAJAJ                         ,XCD 125                                           ,ELECTRIC START,44520
BAJAJ                         ,XCD 125                                           ,KICK START,36520
BAJAJ                         ,XCD 135                                           ,ELEC START DISK BRAKE,47700
BAJAJ                         ,XCD 135                                           ,KICK START DRUM BRAKE,45580
BAJAJ                         ,XCD 135 DTSI                                      ,ELECTRIC START,45580
BAJAJ                         ,XCD 135 DTSI                                      ,ELEC START DISC BRAKE,47700
BAJAJ                         ,XCD 135 DTSI                                      ,KICK START,45580
BAJAJ                         ,V12                                               ,DRUM BSIV,62994
BAJAJ                         ,V12                                               ,DISC BSIV,63505
BAJAJ                         ,V12                                               ,STD,66739
BAJAJ                         ,V12                                               ,4 stoke,58000
BAJAJ                         ,DOMINAR                                           ,400RS ABS,162300
BAJAJ                         ,DOMINAR                                           ,400RS DISC,149500
BAJAJ                         ,DOMINAR                                           ,250 D BSVI,160000
BAJAJ                         ,DOMINAR                                           ,400 D BSVI,201699
BAJAJ                         ,CT 110                                            ,KS CBS,39405
BAJAJ                         ,CT 110                                            ,ES CBS,44030
BAJAJ                         ,CT 110                                            ,KS ALLOY CBS BSVI,46707
BAJAJ                         ,CT 110                                            ,ES ALLOY CBS BSVI,58259
BAJAJ                         ,CT 110                                            ,X BSVI,61024
BAJAJ                         ,CT 110                                            ,X ES BSVI,59064
BAJAJ                         ,CT 110                                            ,X KS BSVI,65594
BAJAJ                         ,CT 125                                            ,X DISC BSVI,74770
BAJAJ                         ,CT 125                                            ,X DRUM BSVI,71540
BENELLI                       ,IMPERIALE                                         ,400 SILVER,169000
BENELLI                       ,IMPERIALE                                         ,400 RED/BLACK,179000
BENELLI                       ,IMPERIALE                                         ,400 SILVER BSVI,199000
BENELLI                       ,IMPERIALE                                         ,400 RED/BLACK BSVI,210900
BENELLI                       ,302R                                              ,BSVI,300000
BENELLI                       ,TNT 15                                            ,STD,230000
BENELLI                       ,TNT 135                                           ,STD,130000
BENELLI                       ,TNT 25                                            ,Premium,183000
BENELLI                       ,LEONCINO                                          ,250,250000
BENELLI                       ,TRK 502                                           ,BSVI,510000
BMW                           ,CR 1200                                           ,STD,1790000
BMW                           ,S 1000                                            ,XR,1790000
BMW                           ,K 1600                                            ,B,2976000
BMW                           ,K 1600                                            ,GT L,2998000
BMW                           ,R 1200                                            ,GS,1795500
BMW                           ,R 1200                                            ,GS ADVENTURE,1790000
BMW                           ,R 1200                                            ,R,1490000
BMW                           ,R 1200                                            ,RT,1820000
BMW                           ,R 1200                                            ,RS STD,1617000
BMW                           ,R 1200                                            ,RS DYNAMIC,1722000
BMW                           ,G 310                                             ,G 310 GS,340000
BMW                           ,G 310                                             ,G 310 RR,300000
BMW                           ,GS                                                ,F 650,1000000
BMW                           ,GS                                                ,F750,1598465
BMW                           ,GS                                                ,F850,1793833
BMW                           ,R18                                               ,STD,2100000
BMW                           ,R 50                                              ,STD,1400000
CAGIVA                        ,MITO                                              ,STD,390000
DUCATI                        ,HYPER STRADA                                      ,STD,1219000
DUCATI                        ,SCRAMBLER                                         ,ICON RED,678000
DUCATI                        ,SCRAMBLER                                         ,ICON YELLOW,731850
DUCATI                        ,SCRAMBLER                                         ,VERSIONS,898800
DUCATI                        ,SCRAMBLER                                         ,CAFE RACER 803,1170000
DUCATI                        ,SCRAMBLER                                         ,DESERT SLED,945000
DUCATI                        ,MONSTER                                           ,STD,1025000
DUCATI                        ,848 SUPER BIKE                                    ,EVO,1657800
FAB MOTORS                    ,BOBBER                                            ,STD,333000
FAB MOTORS                    ,DAYTONA                                           ,STD,322000
FAB MOTORS                    ,DDE 9B                                            ,STD,322000
GLOBAL AUTOMOBILES            ,ROCK                                              ,ROCK 100,25000
GLOBAL AUTOMOBILES            ,UFO                                               ,UFO 150,25000
GLOBAL AUTOMOBILES            ,XPRESSION                                         ,PLUS,41172
HARLEY DAVIDSON               ,BREAKOUT                                          ,STD,1780275
HARLEY DAVIDSON               ,DYNA                                              ,FAT BOB,1362000
HARLEY DAVIDSON               ,DYNA                                              ,FXDB STREET BOB,1113000
HARLEY DAVIDSON               ,FAT BOY                                           ,FLSTF FAT BOY,1516489
HARLEY DAVIDSON               ,FORTY EIGHT                                       ,XL 1200 X,1245488
HARLEY DAVIDSON               ,FX STANDARD                                       ,STD,1230000
HARLEY DAVIDSON               ,NIGHTSTER                                         ,STD,1125400
HARLEY DAVIDSON               ,ROAD KING                                         ,FLHR ROAD KING,2335150
HARLEY DAVIDSON               ,SOFTAIL                                           ,FLSTC HERITAGE SOFTAIL CLASSIC,1959303
HARLEY DAVIDSON               ,SOFTAIL                                           ,SOFTAIL FLSTF FAT BOY,2068500
HARLEY DAVIDSON               ,SOFTAIL                                           ,STREET Bob PREMIUM,1380700
HARLEY DAVIDSON               ,SOFTAIL                                           ,STREET Bob,1337700
HARLEY DAVIDSON               ,SOFTAIL                                           ,FAT BOB,1558400
HARLEY DAVIDSON               ,SOFTAIL                                           ,Fat BOY PREMIUM,1967000
HARLEY DAVIDSON               ,SOFTAIL                                           ,Fat BOY,1934000
HARLEY DAVIDSON               ,SOFTAIL                                           ,Fat BOY ANNI 114,2167200
HARLEY DAVIDSON               ,SOFTAIL                                           ,SOFTAIL DELUXE,1998000
HARLEY DAVIDSON               ,SOFTAIL                                           ,HERITAGE CLASSIC BSIV,2100210
HARLEY DAVIDSON               ,SOFTAIL                                           ,LOW RIDER,1453200
HARLEY DAVIDSON               ,SOFTAIL                                           ,HERITAGE CLASSIC,1600000
HARLEY DAVIDSON               ,SOFTAIL                                           ,STANDARD,1600000
HARLEY DAVIDSON               ,SOFTAIL                                           ,FATBOB,1600000
HARLEY DAVIDSON               ,SOFTAIL                                           ,SOFTAIL FATBOY,2000000
HARLEY DAVIDSON               ,SOFTAIL                                           ,FXLRS LOW RIDER,1460000
HARLEY DAVIDSON               ,SPORTSTER                                         ,IRON 883,1148373
HARLEY DAVIDSON               ,SPORTSTER                                         ,SUPERLOW XL 883,624878
HARLEY DAVIDSON               ,SPORTSTER                                         ,XL 1200 C,1010000
HARLEY DAVIDSON               ,SPORTSTER                                         ,XL 883L,664000
HARLEY DAVIDSON               ,SPORTSTER                                         ,XR 1200X,1254750
HARLEY DAVIDSON               ,SPORTSTER                                         ,IRON 883 BSIV,969150
HARLEY DAVIDSON               ,SPORTSTER                                         ,XL 1200C CUSTOM,1144500
HARLEY DAVIDSON               ,SPORTSTER                                         ,XL 1200X Forty-Eight anv,1147500
HARLEY DAVIDSON               ,SPORTSTER                                         ,XL 1200X Forty-Eight,1138200
HARLEY DAVIDSON               ,SPORTSTER                                         ,XL 1200CX RoadSter,1180200
HARLEY DAVIDSON               ,STREET                                            ,750,539700
HARLEY DAVIDSON               ,STREET                                            ,BOB,1258950
HARLEY DAVIDSON               ,STREET                                            ,GLIDE,2514778
HARLEY DAVIDSON               ,STREET                                            ,750 PREMIUM BSIV,687750
HARLEY DAVIDSON               ,STREET                                            ,750 BSIV,515550
HARLEY DAVIDSON               ,STREET                                            ,ROD PREMIUM,515550
HARLEY DAVIDSON               ,STREET                                            ,ROD,687750
HARLEY DAVIDSON               ,SUPER GLIDE CUSTOM                                ,STD,1282321
HARLEY DAVIDSON               ,V-ROD                                             ,NIGHT ROD SPECIAL,2192000
HARLEY DAVIDSON               ,XL 1200                                           ,FORTY-EIGHT,1159200
HARLEY DAVIDSON               ,ROAD GLIDE                                        ,STD SPECIAL,3375000
HARLEY DAVIDSON               ,ROAD GLIDE                                        ,WHITE PEARL,1900000
HARLEY DAVIDSON               ,ROAD GLIDE                                        ,SPECIAL,3500000
HARLEY DAVIDSON               ,CVO                                               ,LIMITED,5053000
HARLEY DAVIDSON               ,CVO                                               ,ELECTRA GLIDE,3545000
HARLEY DAVIDSON               ,CVO                                               ,ULTRA LIMITED,5053000
HARLEY DAVIDSON               ,HERITAGE CLASSIC                                  ,STD,1779000
HARLEY DAVIDSON               ,HERITAGE CLASSIC                                  ,CLASSIC,1950000
HARLEY DAVIDSON               ,PAN AMERICA                                       ,ADVENTURE TOURING,1779000
HARLEY DAVIDSON               ,ELECTRA GLIDE                                     ,TOURING ELECTRA GLIDE,2450000
HARLEY DAVIDSON               ,LOW RIDER S                                       ,STD,1400000
HARLEY DAVIDSON               ,X 440                                             ,DENIUM BSVI,239500
HARLEY DAVIDSON               ,X 440                                             ,VIVID BSVI,259500
HARLEY DAVIDSON               ,X 440                                             ,S BSVI,279500
HERO                 ,ACHIEVER                                          ,ELECTRIC START DISC BRAKE,69800
HERO                 ,ACHIEVER                                          ,KICK START DISC BRAKE,60100
HERO                 ,ACHIEVER                                          ,KICK START DRUM BRAKE,54224
HERO                 ,ACHIEVER                                          ,SELF START DRUM BRAKE,54224
HERO                 ,ACHIEVER                                          ,DRUM BRAKE BSIV,68874
HERO                 ,ACHIEVER                                          ,DISC BRAKE BSIV,73040
HERO                 ,ACHIEVER                                          ,DRUM CAST SELF FI BSVI,67350
HERO                 ,ACHIEVER                                          ,DISC CAST SELF FI BSVI,69350
HERO                 ,ACHIEVER                                          ,I3S,66000
HERO                 ,AMBITION                                          ,ELEC START DISC BRAKE,54000
HERO                 ,AMBITION                                          ,ELEC START DRUM BRAKE,54000
HERO                 ,AMBITION                                          ,KICK START DISC BRAKE,54000
HERO                 ,AMBITION                                          ,KICK START DRUM BRAKE,54000
HERO                 ,CBX                                               ,ELECTRIC START DISC BRAKE,57500
HERO                 ,CBX                                               ,STD DRUM BRAKE,57500
HERO                 ,CBZ                                               ,ELEC START DISC BRAKE,57500
HERO                 ,CBZ                                               ,KICK START DISC BRAKE,57500
HERO                 ,CBZ                                               ,EXTREME,58000
HERO                 ,CBZ STAR                                          ,ELECTRIC START DISC BRAKE,57500
HERO                 ,CBZ STAR                                          ,ELECTRIC START DRUM BRAKE,57500
HERO                 ,CBZ STAR                                          ,KICK START DISC BRAKE,57500
HERO                 ,CBZ STAR                                          ,KICK START DRUM BRAKE,57500
HERO                 ,CBZ X-TREME                                       ,ELECTRIC START DISC BRAKE,70774
HERO                 ,CBZ X-TREME                                       ,KICK START DISC BRAKE,70774
HERO                 ,CBZ X-TREME                                       ,REAR DISC BRAKE,91000
HERO                 ,CD 100                                            ,DELUXE,35000
HERO                 ,CD 100                                            ,ELETRIC START,31900
HERO                 ,CD 100                                            ,STD,35000
HERO                 ,CD DAWN                                           ,DELUXE,32288
HERO                 ,CD DAWN                                           ,KICK ST DISC BRAKE SW,39970
HERO                 ,CD DAWN                                           ,KICK ST DRUM BRAKE SW,32288
HERO                 ,CD DELUXE                                         ,CAST WHEELS,37884
HERO                 ,CD DELUXE                                         ,ELECTRIC START,39902
HERO                 ,CD DELUXE                                         ,KICK START,36673
HERO                 ,CD DELUXE                                         ,KICK ST DRUM BRAKE CAST WHEEL,40750
HERO                 ,CD DELUXE                                         ,KICK ST DRUM BRAKE CAST WHEELS,37884
HERO                 ,CD DELUXE                                         ,KICK ST DRUM BRAKE SPOKE WHEEL,39000
HERO                 ,CD DELUXE                                         ,KICK ST DRUM BRAKE SW,36673
HERO                 ,CD DELUXE                                         ,SELF ST DRUM BRAKE CAST WHEEL,42250
HERO                 ,CD DELUXE                                         ,SELF ST DRUM BRAKE SPOKE WHEEL,39000
HERO                 ,CD DELUXE                                         ,SPOKE WHEELS,36673
HERO                 ,GLAMOUR                                           ,ELECTRIC START DISC BRAKE,56976
HERO                 ,GLAMOUR                                           ,ELEC START DISC BRAKE,56606
HERO                 ,GLAMOUR                                           ,ELEC ST DISC BRAKE CAST WHEEL,56976
HERO                 ,GLAMOUR                                           ,ELEC ST DISC BRAKE CAST WHEELS,48614
HERO                 ,GLAMOUR                                           ,ELECTRIC START DRUM BRAKE,48830
HERO                 ,GLAMOUR                                           ,ELEC ST DRUM BRAKE CAST WHEELS,48830
HERO                 ,GLAMOUR                                           ,ELECTRIC START SPOKE WHEELS,48830
HERO                 ,GLAMOUR                                           ,KICK START DISC BRAKE,56606
HERO                 ,GLAMOUR                                           ,KICK ST DISC BRAKE CAST WHEEL,53386
HERO                 ,GLAMOUR                                           ,KICK START DRUM BRAKE,56606
HERO                 ,GLAMOUR                                           ,STD,42500
HERO                 ,GLAMOUR                                           ,DRUM BRAKE BSIV,62943
HERO                 ,GLAMOUR                                           ,DISC BRAKE BSIV,65006
